1.6 -616.180812034852
1.7 -616.199003036602
1.8 -616.205216515233
1.9 -616.204293401290
2.0 -616.199389632061
2.1 -616.192499322117
2.2 -616.184815460601
2.3 -616.177005387113
2.4 -616.169421968696
2.5 -616.162224303843
2.6 -616.155464873533
2.7 -616.149135481530
2.8 -616.143196607829
2.9 -616.137597399318
3.0 -616.132286786665
3.1 -616.127221066929
3.2 -616.122364629557
3.3 -616.117692214258
3.4 -616.113191010744
3.5 -616.108851302728
3.6 -616.104670905370
3.7 -616.100651257428
3.8 -616.096795037723
3.9 -616.093105478881
4.0 -616.089586522481
4.1 -616.086238380442
4.2 -616.083061180173
4.3 -616.080050978910
4.4 -616.077203578788
4.5 -616.074511149505
4.6 -616.071964383402
4.7 -616.069553385348
4.8 -616.067267683773
4.9 -616.065096877516
5.0 -616.063030857701
5.1 -616.061060781787
5.2 -616.059177701077
5.3 -616.057374263227
5.4 -616.055643610151
5.5 -616.053979900239
5.6 -616.052378044557
5.7 -616.050833624665
5.8 -616.049342798820
5.9 -616.047902209981
6.0 -616.046508898805
6.1 -616.045160247716
6.2 -616.043853910954
6.3 -616.042587749090
6.4 -616.041359828687
6.5 -616.040168360380
6.6 -616.039011693009
6.7 -616.037888289136
6.8 -616.036796711109
6.9 -616.035735611417
7.0 -616.034703721321
7.1 -616.033699844395
7.2 -616.032722852792
7.3 -616.031771677178
7.4 -616.030845307309
7.5 -616.029942783765
7.6 -616.029063198937
7.7 -616.028205689105
7.8 -616.027369433392
7.9 -616.026553652611
8.0 -616.025757605005
8.1 -616.024980583458
8.2 -616.024221914947
8.3 -616.023480957971
8.4 -616.022757100511
8.5 -616.022049758763
8.6 -616.021358374808
8.7 -616.020682415701
8.8 -616.020021371846
8.9 -616.019374756420
9.0 -616.018742102715
9.1 -616.018122964625
9.2 -616.017516914340
9.3 -616.016923543066
9.4 -616.016342457321
9.5 -616.015773280313
9.6 -616.015215651105
9.7 -616.014669222240
9.8 -616.014133660425
9.9 -616.013608645967
10.0 -616.013093870591
